Date : 2025-06-28 21:26:12
Directory : c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App
Total : 94 files,  4430 codes, 572 comments, 664 blanks, all 5666 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| windows\runner (Files)                                                                                                                                                      |         10 |        475 |         86 |        140 |        701 |
| windows\runner\resources                                                                                                                                                    |          1 |          4 |          0 |          0 |          4 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\README.md                                                                              | Markdown   |        316 |          0 |         27 |        343 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\analysis_options.yaml                                                                  | YAML       |          3 |         22 |          4 |         29 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\android\app\src\debug\AndroidManifest.xml                                              | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\android\app\src\main\AndroidManifest.xml                                               | XML        |         34 |         11 |          1 |         46 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\android\app\src\main\res\drawable-v21\launch_background.xml                            | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\android\app\src\main\res\drawable\launch_background.xml                                | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\android\app\src\main\res\values-night\styles.xml                                       | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\android\app\src\main\res\values\styles.xml                                             | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\android\app\src\profile\AndroidManifest.xml                                            | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\android\gradle.properties                                                              | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\android\gradle\wrapper\gradle-wrapper.properties                                       | Properties |          5 |          0 |          1 |          6 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\assets\icon\icon.svg                                                                   | XML        |          4 |          0 |          0 |          4 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner.xcodeproj\project.xcworkspace\contents.xcworkspacedata.xml                  | XML        |          7 |          0 |          1 |          8 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\WorkspaceSettings.xcsettings.xml | XML        |          8 |          0 |          1 |          9 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner.xcodeproj\xcshareddata\xcschemes\Runner.xcscheme.xml                        | XML        |        101 |          0 |          1 |        102 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner.xcworkspace\contents.xcworkspacedata.xml                                    | XML        |          7 |          0 |          1 |          8 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner.xcworkspace\xcshareddata\WorkspaceSettings.xcsettings.xml                   | XML        |          8 |          0 |          1 |          9 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\RunnerTests\RunnerTests.swift                                                      | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner\AppDelegate.swift                                                           | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                            | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                          | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                              | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner\Base.lproj\LaunchScreen.storyboard.xml                                      | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner\Base.lproj\Main.storyboard.xml                                              | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\ios\Runner\Runner-Bridging-Header.h                                                    | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\main.dart                                                                          | Dart       |         48 |          6 |          6 |         60 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\folder.dart                                                                 | Dart       |         13 |          0 |          6 |         19 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\folder.g.dart                                                               | Dart       |         35 |          4 |          8 |         47 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\learning_card.dart                                                          | Dart       |         23 |          0 |          3 |         26 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\save_cards.dart                                                             | Dart       |         34 |          0 |         12 |         46 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\save_cards.g.dart                                                           | Dart       |         54 |          4 |          8 |         66 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\save_theme.dart                                                             | Dart       |         19 |          0 |          6 |         25 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\models\save_theme.g.dart                                                           | Dart       |         72 |          4 |         13 |         89 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\navigation\main_navigation.dart                                                    | Dart       |         85 |          3 |          9 |         97 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\providers\app_provider.dart                                                        | Dart       |         44 |          2 |          7 |         53 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\providers\app_theme.dart                                                           | Dart       |         18 |          0 |          7 |         25 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\providers\card_provider.dart                                                       | Dart       |        112 |         35 |         13 |        160 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\providers\folders_provider.dart                                                    | Dart       |         46 |          0 |         10 |         56 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\cards\cards_screen.dart                                               | Dart       |        118 |          7 |         13 |        138 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\cards\create_edit_card.dart                                           | Dart       |        326 |         34 |         19 |        379 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\folders\folder_cards_screen.dart                                      | Dart       |         32 |          0 |          3 |         35 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\folders\folders_screen.dart                                           | Dart       |         94 |          0 |          5 |         99 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\home\home_tab_bar_screen.dart                                              | Dart       |         10 |          0 |          3 |         13 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\quiz\quiz_screen.dart                                                      | Dart       |        154 |         25 |         19 |        198 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\quiz\quiz_selection_screen.dart                                            | Dart       |         50 |          2 |          6 |         58 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\screens\settings_screen.dart                                                       | Dart       |        148 |         13 |         19 |        180 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\tabs\words_tab_screen.dart                                                         | Dart       |          8 |          0 |          3 |         11 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\theme\current_app_theme.dart                                                       | Dart       |         21 |          0 |          3 |         24 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\theme\theme_app_data.dart                                                          | Dart       |        105 |          5 |          5 |        115 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_drop_down_color_menu.dart                                           | Dart       |         59 |         34 |         18 |        111 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_drop_down_flag_menu.dart                                            | Dart       |         73 |         55 |         13 |        141 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_old_card.dart                                                       | Dart       |        124 |         41 |         20 |        185 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_settings_bar.dart                                                   | Dart       |         37 |          0 |          3 |         40 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\custom_text_button.dart                                                    | Dart       |         16 |          0 |          3 |         19 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\lib\widgets\my_widget.dart                                                             | Dart       |        107 |          6 |         12 |        125 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\CMakeLists.txt                                                                   | CMake      |        104 |          0 |         25 |        129 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\flutter\CMakeLists.txt                                                           | CMake      |         79 |          0 |         10 |         89 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\flutter\generated_plugin_registrant.cc                                           | C++        |          7 |          4 |          5 |         16 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\flutter\generated_plugin_registrant.h                                            | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\flutter\generated_plugins.cmake                                                  | CMake      |         19 |          0 |          6 |         25 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\runner\CMakeLists.txt                                                            | CMake      |         21 |          0 |          6 |         27 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\runner\main.cc                                                                   | C++        |          5 |          0 |          2 |          7 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\runner\my_application.cc                                                         | C++        |         83 |         21 |         27 |        131 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\linux\runner\my_application.h                                                          | C++        |          7 |          7 |          5 |         19 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Flutter\GeneratedPluginRegistrant.swift                                          | Swift      |          8 |          3 |          4 |         15 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner.xcodeproj\xcshareddata\xcschemes\Runner.xcscheme.xml                      | XML        |         99 |          0 |          1 |        100 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner.xcworkspace\contents.xcworkspacedata.xml                                  | XML        |          7 |          0 |          1 |          8 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\RunnerTests\RunnerTests.swift                                                    | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\AppDelegate.swift                                                         | Swift      |         11 |          0 |          3 |         14 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                          | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\Base.lproj\MainMenu.xib                                                   | XML        |        343 |          0 |          1 |        344 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\DebugProfile.entitlements.xml                                             | XML        |         12 |          0 |          1 |         13 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\MainFlutterWindow.swift                                                   | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\macos\Runner\Release.entitlements.xml                                                  | XML        |          8 |          0 |          1 |          9 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\pubspec.yaml                                                                           | YAML       |         40 |         53 |         15 |        108 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\test\widget_test.dart                                                                  | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\web\index.html                                                                         | HTML       |         19 |         15 |          5 |         39 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\web\manifest.json                                                                      | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\CMakeLists.txt                                                                 | CMake      |         89 |          0 |         20 |        109 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\flutter\CMakeLists.txt                                                         | CMake      |         98 |          0 |         12 |        110 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\flutter\generated_plugin_registrant.cc                                         | C++        |          6 |          4 |          5 |         15 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\flutter\generated_plugin_registrant.h                                          | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\flutter\generated_plugins.cmake                                                | CMake      |         19 |          0 |          6 |         25 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\CMakeLists.txt                                                          | CMake      |         34 |          0 |          7 |         41 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\flutter_window.cpp                                                      | C++        |         49 |          7 |         16 |         72 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\flutter_window.h                                                        | C++        |         20 |          5 |          9 |         34 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\main.cpp                                                                | C++        |         30 |          4 |         10 |         44 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\resource.h                                                              | C++        |          9 |          6 |          2 |         17 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\resources\icon.svg                                                      | XML        |          4 |          0 |          0 |          4 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\runner.exe.manifest.xml                                                 | XML        |         13 |          1 |          1 |         15 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\utils.cpp                                                               | C++        |         54 |          2 |         10 |         66 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\utils.h                                                                 | C++        |          8 |          6 |          6 |         20 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\win32_window.cpp                                                        | C++        |        210 |         24 |         55 |        289 |
| c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App\windows\runner\win32_window.h                                                          | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                                                                                       |            |      4,430 |        572 |        664 |      5,666 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
